Date,Open,High,Low,Close,Adj Close,Volume
2018-07-13,318.000000,329.149994,315.130005,327.679993,327.679993,932900
2018-07-16,328.760010,346.660004,326.260010,343.250000,343.250000,1031800
2018-07-17,339.000000,362.739990,332.109985,359.799988,359.799988,1706000
2018-07-18,360.230011,377.660004,359.700012,369.350006,369.350006,2050700
2018-07-19,366.510010,375.450012,363.700012,374.609985,374.609985,948100
2018-07-20,372.929993,381.500000,368.739990,373.459991,373.459991,774700
2018-07-23,373.799988,374.980011,357.250000,363.290009,363.290009,961300
2018-07-24,366.790009,368.109985,350.329987,353.000000,353.000000,671700
2018-07-25,355.989990,366.559998,351.869995,364.989990,364.989990,504100
2018-07-26,355.609985,367.000000,355.609985,363.730011,363.730011,397400
2018-07-27,365.630005,366.429993,350.220001,354.570007,354.570007,562500
2018-07-30,355.970001,356.619995,340.440002,343.250000,343.250000,787200
2018-07-31,342.690002,354.559998,339.519989,342.910004,342.910004,658400
2018-08-01,342.059998,353.260010,339.799988,346.140015,346.140015,580900
2018-08-02,343.089996,345.000000,335.079987,339.269989,339.269989,661600
2018-08-03,340.890015,344.109985,336.500000,343.880005,343.880005,381000
2018-08-06,342.820007,349.739990,340.399994,348.519989,348.519989,339900
2018-08-07,349.519989,351.510010,343.230011,347.420013,347.420013,893900
2018-08-08,348.070007,356.130005,343.010010,344.429993,344.429993,669000
2018-08-09,337.880005,394.920013,337.190002,384.390015,384.390015,2099000
2018-08-10,378.859985,384.970001,365.609985,372.350006,372.350006,986400
2018-08-13,371.950012,371.950012,357.089996,358.859985,358.859985,726100
2018-08-14,362.359985,365.609985,355.309998,363.510010,363.510010,267300
2018-08-15,355.000000,357.489990,339.940002,344.790009,344.790009,1156900
2018-08-16,349.040009,351.000000,333.609985,334.799988,334.799988,717000
2018-08-17,333.290009,334.660004,321.570007,324.200012,324.200012,859900
2018-08-20,323.829987,325.209991,315.250000,319.750000,319.750000,863400
2018-08-21,319.000000,335.660004,315.149994,328.450012,328.450012,1182900
2018-08-22,332.920013,345.980011,328.000000,344.929993,344.929993,1663900
2018-08-23,342.500000,355.000000,341.859985,348.329987,348.329987,653900
2018-08-24,350.070007,373.119995,349.170013,367.540009,367.540009,1453200
2018-08-27,370.980011,377.570007,368.769989,374.850006,374.850006,658400
2018-08-28,374.950012,381.899994,372.279999,378.179993,378.179993,578500
2018-08-29,379.399994,381.010010,374.000000,377.440002,377.440002,638000
2018-08-30,375.410004,375.410004,339.329987,340.149994,340.149994,1831500
2018-08-31,338.440002,343.369995,336.549988,342.410004,342.410004,883300
2018-09-04,340.000000,345.600006,336.970001,342.269989,342.269989,708100
2018-09-05,339.910004,340.679993,323.010010,328.000000,328.000000,1269200
2018-09-06,328.970001,331.700012,320.309998,320.760010,320.760010,992900
2018-09-07,320.000000,332.500000,317.769989,326.500000,326.500000,554500
2018-09-10,327.720001,329.250000,318.359985,319.429993,319.429993,426200
2018-09-11,317.309998,326.450012,315.970001,318.730011,318.730011,568100
2018-09-12,318.000000,321.420013,310.790009,316.899994,316.899994,696300
2018-09-13,320.309998,332.829987,319.600006,320.670013,320.670013,532100
2018-09-14,321.609985,329.519989,318.250000,325.040009,325.040009,745400
2018-09-17,323.929993,328.690002,317.109985,322.260010,322.260010,530900
2018-09-18,323.149994,331.989990,314.500000,315.079987,315.079987,827900
2018-09-19,315.500000,319.500000,310.649994,315.809998,315.809998,799500
2018-09-20,318.880005,325.279999,316.690002,323.079987,323.079987,520600
2018-09-21,324.420013,330.109985,319.299988,319.679993,319.679993,643800
2018-09-24,317.000000,334.149994,313.339996,331.380005,331.380005,1042500
2018-09-25,333.260010,333.890015,318.019989,319.619995,319.619995,800300
2018-09-26,320.730011,337.500000,320.000000,330.750000,330.750000,949700
2018-09-27,333.309998,346.100006,325.089996,340.079987,340.079987,1018500
2018-09-28,337.739990,344.649994,336.529999,340.470001,340.470001,487300
2018-10-01,343.839996,353.109985,331.739990,332.489990,332.489990,875200
2018-10-02,334.589996,354.489990,332.820007,353.899994,353.899994,1053700
2018-10-03,356.559998,362.329987,350.260010,354.100006,354.100006,716700
2018-10-04,351.750000,352.000000,332.160004,339.459991,339.459991,595700
2018-10-05,340.619995,349.950012,330.290009,335.640015,335.640015,635300
2018-10-08,348.940002,351.410004,327.510010,339.500000,339.500000,1110100
2018-10-09,337.470001,341.500000,333.869995,340.059998,340.059998,495600
2018-10-10,336.390015,338.709991,314.529999,319.070007,319.070007,835200
2018-10-11,314.720001,320.750000,298.070007,304.859985,304.859985,945000
2018-10-12,311.940002,314.209991,295.399994,303.420013,303.420013,1350700
2018-10-15,303.279999,303.279999,291.510010,294.750000,294.750000,1291400
2018-10-16,297.200012,309.299988,296.010010,308.600006,308.600006,1242200
2018-10-17,307.910004,319.029999,304.690002,313.369995,313.369995,536900
2018-10-18,313.179993,317.250000,297.000000,298.760010,298.760010,499100
2018-10-19,300.920013,312.140015,298.779999,301.869995,301.869995,418400
2018-10-22,305.989990,318.140015,301.950012,313.559998,313.559998,580900
2018-10-23,303.019989,309.380005,295.600006,306.859985,306.859985,505600
